t	x	y
0	149	308
200	317	313
400	340	313
600	181	140
800	216	79
1000	229	66
1200	203	53
1400	275	78
1600	235	76
1800	218	60
2000	64	78
2200	353	172
2400	318	180
2600	222	81
2800	283	86
3000	348	144
3200	343	122
3400	367	175
3600	372	208
3800	426	200
4000	245	123
4200	226	84
4400	26	74
4600	86	80
4800	17	66
5000	109	136
5200	146	161
5400	218	141
5600	267	131
5800	59	165
6000	4	165
6200	11	212
6400	9	263
6600	19	332
6800	13	394
7000	12	415
7200	14	567
7400	20	576
7600	18	567
7800	15	563
8000	143	551
8200	317	563
8400	288	567
8600	399	564
8800	208	131
9000	242	95
9200	272	78
9400	204	67
9600	227	59
10000	13	53
10200	263	511
10400	327	513
10600	385	501
10800	332	495
11000	41	505
11200	21	505
11400	10	557
11600	20	602
11800	15	547
12000	118	542
12200	309	563
12400	283	556
12600	308	550
12800	310	359
13000	292	116
