t	x	y
0	206	89
200	172	120
400	149	113
600	142	130
800	197	127
1000	97	193
1200	3	285
1400	62	288
1600	67	561
1800	77	730
2000	68	688
2200	58	616
2400	65	586
2600	54	511
2800	78	515
3000	167	522
3200	142	526
3400	191	521
3600	173	511
3800	199	514
4000	167	516
4200	169	519
4400	151	519
4600	355	521
4800	464	526
5000	385	514
5200	390	311
5400	394	37
5800	372	508
6000	357	524
6200	113	522
6400	74	520
6600	357	519
6800	356	533
7000	369	514
7200	186	528
7400	353	533
7600	396	33
8600	405	12
8800	369	570
9000	362	524
9200	372	493
9400	359	533
9600	353	527
9800	347	519
10000	372	411
10200	416	116
10400	405	522
10600	463	522
10800	230	33
11000	271	80
11200	287	87
11400	412	555
11600	407	533
11800	426	546
12000	339	534
12200	327	537
12400	304	543
12600	141	542
12800	111	543
14600	351	524
14800	348	576
15000	318	548
15200	357	587
15400	364	570
15600	314	541
15800	235	84
16200	290	74
16400	315	547
16600	99	538
16800	26	537
17000	80	518
17200	386	511
17400	390	222
17600	405	12
17800	410	555
18000	374	543
18200	350	537
18400	386	521
