t	x	y
0	285	543
200	248	276
400	157	322
600	54	319
800	97	146
1000	242	138
1200	275	96
1400	232	95
1600	269	77
1800	295	77
2000	342	86
2200	315	97
2400	386	165
2600	370	168
2800	450	172
3000	312	134
3200	292	116
3400	303	110
3600	424	129
3800	508	93
4000	465	424
4200	438	106
4400	228	79
4600	117	71
4800	184	657
5000	42	648
5200	59	646
5400	76	393
5600	50	414
5800	61	374
6000	57	483
6200	37	584
6400	47	547
6600	40	520
6800	146	531
7000	116	533
7200	40	534
7400	44	321
7600	49	217
7800	51	155
8000	52	227
8200	58	269
8400	63	330
8600	55	323
8800	56	383
9000	57	414
9200	53	420
9400	42	487
9600	41	532
9800	60	563
10000	44	621
10200	40	677
10400	42	727
10600	42	773
10800	29	835
11000	35	893
11200	30	851
11400	52	546
11600	35	523
11800	136	546
12000	172	543
12200	309	520
12400	295	530
12600	327	151
12800	285	93
13000	250	88
13200	265	151
13400	320	98
13600	345	496
13800	349	447
14000	320	492
14200	302	536
14400	315	527
14600	418	530
14800	360	127
15000	354	140
15200	283	119
15400	288	145
15600	117	128
15800	128	109
16000	72	79
16200	65	79
16400	258	73
16600	276	81
16800	344	553
17000	389	559
17200	350	569
17400	306	526
17600	40	546
17800	319	518
18000	297	540
