t	x	y
0	170	478
200	165	526
400	317	564
600	290	566
800	153	120
1000	137	67
1200	26	42
1400	101	45
1600	166	43
1800	236	74
2000	243	98
2200	303	92
2400	283	92
2600	31	176
2800	20	344
3000	27	463
3200	14	554
3400	20	618
3600	24	582
3800	18	660
4000	28	569
4200	152	570
4400	291	562
4600	284	568
4800	310	549
5000	294	537
5200	332	492
5400	335	505
5600	380	537
5800	278	566
6000	319	127
6200	275	99
6400	52	101
6600	276	144
6800	323	117
7000	296	555
7200	314	563
7400	283	574
7600	303	536
7800	292	461
8000	314	241
8200	327	138
8400	326	119
8600	356	111
8800	312	519
9000	305	558
9200	308	556
9400	324	103
9600	166	99
9800	62	92
10000	36	79
10200	108	100
10400	247	92
10600	96	725
10800	294	645
11000	345	365
11200	306	447
11400	311	122
11600	284	96
11800	307	97
12000	233	74
12200	237	101
12400	227	81
12600	241	100
12800	317	100
13000	294	103
