x	y	t	id	label	task_id
449	64	0	4	T	0
660	198	200	5	L	0
592	209	400	5	L	2
724	201	600	7	M	0
727	183	800	7	M	0
583	171	1000	5	L	2
744	194	1200	7	M	2
726	574	1400	6	A	0
744	581	1600	6	A	2
524	212	1800	7	M	0
611	193	2000	5	L	2
394	168	2200	5	L	1
639	186	2400	5	L	2
551	169	2600	5	L	2
821	228	2800	7	M	2
790	217	3000	7	M	2
898	270	3200	7	M	0
546	152	3400	5	L	0
577	169	3600	5	L	2
596	165	3800	5	L	0
896	270	4000	7	M	0
893	291	4200	7	M	0
906	422	4400	7	M	0
897	293	4600	7	M	0
696	162	4800	7	M	0
776	205	5000	7	M	2
796	225	5200	7	M	2
262	60	5400	4	T	0
112	26	5600	4	T	0
344	32	5800	4	T	0
484	34	6000	4	T	0
607	36	6200	4	T	0
724	24	6400	4	T	0
178	69	6600	4	T	2
129	69	6800	4	T	2
231	70	7000	4	T	2
357	76	7200	4	T	0
331	86	7400	4	T	1
440	86	7600	4	T	0
406	77	7800	4	T	0
672	113	8000	0	Z	0
671	177	8200	5	L	2
584	194	8400	5	L	2
764	228	8600	7	M	0
558	233	8800	7	M	2
71	281	9000	6	A	0
67	655	9200	0	Z	0
148	683	9400	0	Z	0
110	423	9600	7	M	0
690	262	9800	7	M	2
771	185	10000	7	M	2
715	208	10200	7	M	0
616	199	10400	5	L	2
791	184	10600	7	M	0
772	171	10800	7	M	0
530	160	11000	5	L	0
404	162	11200	5	L	0
