x	y	t	id	label	task_id
207	425	0	7	M	0
416	421	200	7	M	2
295	306	400	7	M	0
548	548	600	7	M	2
554	572	800	7	M	0
566	559	1000	7	M	2
554	591	1200	7	M	0
568	577	1400	7	M	2
402	480	1600	7	M	0
410	483	1800	7	M	0
326	278	2000	7	M	0
117	123	2200	7	M	0
81	130	2400	7	M	0
106	61	2600	4	T	0
178	43	2800	4	T	3
248	44	3000	4	T	3
285	42	3200	4	T	3
78	34	3400	4	T	0
135	47	3600	4	T	0
173	52	3800	4	T	3
89	135	4000	7	M	0
121	140	4200	7	M	0
168	139	4400	7	M	0
133	987	4600	0	Z	0
93	852	4800	6	A	0
195	383	5000	7	M	0
466	403	5200	7	M	2
583	530	5400	7	M	2
347	235	5600	7	M	1
466	469	5800	7	M	0
555	564	6000	7	M	2
571	590	6200	7	M	0
557	562	6400	7	M	2
363	908	6600	6	A	0
101	765	6800	7	M	0
459	972	7000	0	Z	0
338	930	7200	0	Z	0
285	303	7400	7	M	0
332	321	7600	7	M	0
161	606	7800	7	M	0
