x	y	t	id	label	task_id
59	419	0	6	A	0
325	440	200	6	A	0
553	490	400	7	M	0
274	107	600	0	Z	0
147	101	800	0	Z	0
931	267	1000	7	M	0
978	320	1200	0	Z	0
838	157	1400	7	M	0
813	209	1600	7	M	0
194	216	1800	6	A	0
129	226	2000	6	A	0
131	189	2200	6	A	0
183	187	2400	6	A	0
123	191	2600	6	A	0
168	183	2800	6	A	2
289	191	3000	6	A	0
389	191	3200	6	A	0
189	182	3400	6	A	2
250	180	3600	6	A	2
164	90	3800	4	T	0
131	245	4000	6	A	0
125	224	4200	6	A	0
189	217	4400	6	A	0
761	258	4600	7	M	0
787	269	4800	7	M	0
877	885	5000	7	M	0
794	929	5200	7	M	0
804	916	5400	7	M	0
964	268	5600	7	M	0
814	255	5800	7	M	0
754	300	6000	7	M	0
145	319	6200	6	A	0
121	307	6400	6	A	0
117	290	6600	6	A	0
124	256	6800	6	A	0
124	218	7000	6	A	2
115	954	7200	0	Z	0
110	930	7400	6	A	0
94	241	7600	6	A	0
135	211	7800	6	A	0
173	210	8000	6	A	0
