x	y	t	id	label	task_id
447	224	0	7	M	0
443	204	200	7	M	0
286	333	400	6	A	0
197	122	600	7	M	0
159	61	800	4	T	1
117	53	1000	4	T	1
244	40	1200	4	T	1
186	274	1400	7	M	0
174	341	1600	6	A	0
215	367	1800	6	A	2
374	397	2000	6	A	0
643	139	2200	7	M	0
659	82	2400	5	L	0
796	76	2600	5	L	0
827	37	2800	5	L	2
885	31	3000	5	L	0
816	35	3200	5	L	2
576	342	3400	6	A	0
233	339	3600	6	A	0
206	352	3800	6	A	0
785	19	4000	5	L	0
803	32	4200	5	L	0
899	41	4400	5	L	0
267	320	4600	6	A	0
223	337	4800	6	A	0
107	269	5000	7	M	0
181	335	5200	6	A	0
198	343	5400	6	A	0
111	225	5600	7	M	0
84	232	5800	7	M	0
124	390	6000	6	A	3
305	387	6200	6	A	0
290	353	6400	6	A	0
386	397	6600	6	A	0
403	391	6800	6	A	0
486	346	7000	6	A	0
514	369	7200	6	A	0
625	362	7400	6	A	0
691	356	7600	6	A	0
798	339	7800	6	A	0
824	352	8000	6	A	0
612	363	8200	6	A	0
647	359	8400	6	A	0
627	359	8600	6	A	0
453	380	8800	6	A	0
437	370	9000	6	A	0
412	370	9200	6	A	0
331	340	9400	6	A	0
208	342	9600	6	A	0
180	357	9800	6	A	0
209	376	10000	6	A	2
192	386	10200	6	A	2
92	388	10400	6	A	2
267	388	10600	6	A	0
299	377	10800	6	A	2
383	443	11000	7	M	0
401	386	11200	6	A	0
423	374	11400	6	A	0
477	320	11600	6	A	0
759	345	11800	6	A	0
801	365	12000	6	A	0
