x	y	t	id	label	task_id
438	88	0	0	Z	0
143	171	200	5	L	0
276	483	400	7	M	0
174	517	600	6	A	0
184	85	800	4	T	0
137	70	1000	4	T	1
275	55	1200	4	T	1
328	56	1400	4	T	1
302	56	1600	4	T	1
382	41	1800	0	Z	0
146	146	2000	5	L	2
171	132	2200	5	L	0
248	173	2400	5	L	0
142	163	2600	5	L	2
769	469	2800	7	M	0
839	496	3000	6	A	2
933	377	3200	7	M	0
830	397	3400	7	M	0
786	544	3600	0	Z	0
763	537	3800	0	Z	0
810	522	4000	6	A	0
830	405	4200	7	M	0
890	393	4400	7	M	0
845	400	4600	7	M	1
821	412	4800	7	M	0
818	492	5000	6	A	0
163	194	5200	5	L	1
246	195	5400	5	L	0
905	345	5600	7	M	0
844	355	5800	7	M	0
916	347	6000	7	M	0
922	323	6200	7	M	0
